0,1,2
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Prednisone quickly reduces inflammation, which cuts down on pain, redness, and swelling. It also dials down your immune system.",How do you taper off of prednisone?,Arthritis
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Prednisone quickly reduces inflammation, which cuts down on pain, redness, and swelling. It also dials down your immune system.",How do you take prednisone?,Arthritis
"Gout can affect elbows. It happens when uric acid builds up in the bloodstream, leading to deposits of sharp crystals in the tissues and joints. You’d feel intense pain and swelling in the elbow joint.",Can you get gout in your elbow?,Arthritis
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Prednisone quickly reduces inflammation, which cuts down on pain, redness, and swelling. It also dials down your immune system.",How long does it take prednisone to work?,Arthritis
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Corticosteroids are manmade drugs that mimic a hormone your body makes naturally, called cortisol.",What Is prednisone?,Arthritis
"Yes. Scleroderma is a type of inflammatory rheumatism or rheumatic disorder. These conditions include many different forms of arthritis that lead to painful, swollen joints. They can also affect bones, cartilage, ligaments, tendons, and muscles. Some can even involve your organs.",Is scleroderma a type of inflammatory rheumatism?,Arthritis
"Not all swollen joints are treated the same way. For example, non-steroidal anti-inflammatory drugs (NSAIDs) are used in treating swollen joints with osteoarthritis. NSAIDs may also be used to treat swollen joints from an injury. Along with NSAIDs, applications of moist heat or ice can help ease swollen joints and pain.",What medications are used to treat swollen joints?,Arthritis
"The first sign of Dupuytren's contracture is a hard knot or lumps of connective tissue that form under the skin of the palm. These lumps might feel tender to the touch, but they usually aren't painful. Over many years, the knots become bands of thick tissues. The bands extend up the fingers -- usually the ring and pinky fingers, although it can affect other fingers.",What is the first sign of Dupuytren's contracture?,Arthritis
"With this condition, it eventually it becomes impossible to fully straighten the fingers. Both hands can be affected by Dupuytren's contracture, but one hand is usually more severe than the other.",What are symptoms of Dupuytren's contracture?,Arthritis
"Symptoms of sinusitis vary, depending on which sinuses are affected. But some common signs are pain in these areas:",What are common symptoms of sinusitis?,Asthma
"Generally, asthma causes swelling in the airways of your lungs. Eosinophilic asthma causes swelling in your entire respiratory system, from your nose all the way down to the tiniest airways. That’s why shortness of breath, rather than wheezing, is one of the main symptoms with this type of asthma. Even when you're doing physical activity, it’s often shortness of breath, not wheezing, that gets worse.",How does eosinophilic asthma cause shortness of breath?,Asthma
"Swelling in the tissue that lines your nose, called the nasal mucosa, often comes along with swollen sinuses. Together with swollen sinuses, this condition is called rhinosinusitis.",How can eosinophilic asthma cause swollen tissue in your nose?,Asthma
"If you have symptoms of flu, call your doctor right away for advice on how to keep your asthma symptoms from getting worse. Your doctor may prescribe an antiviral medicine to help with your flu symptoms and make changes to your asthma action plan.",What should I do if I have asthma and get the flu?,Asthma
"Call your doctor if you experience flu or asthma attack symptoms, including:",What are the symptoms of the flu in people with asthma?,Asthma
"The swelling in your nose and sinuses may reach all the way to your ears and cause a middle ear infection, called otitis media. This leads to a thick fluid in your ears that can affect your hearing.",How can eosinophilic asthma cause middle ear infections?,Asthma
"With asthma, any respiratory infection, including the flu, can affect your lungs. It can cause inflammation and make your airways more narrow.",Is it bad to get sick if I have asthma?,Asthma
"Mepolizumab (Nucala) is a biologic therapy that controls the blood cells that often trigger asthma. Nucala targets Interluken-5 (IL-5) which regulates the levels of blood eosinophils (the type of white blood cells that helps trigger asthma). Genetically engineered, Nucala keeps IL-5 from binding to eosinophils and, thereby, lowers the risk of a severe asthma attack.","How do Nucala. Xolair, and Cinqair work to improve asthma control?",Asthma
Many inhalers contain steroids -- like prednisone -- to treat inflammation. Others have a type of drug called a bronchodilator to open up your airways. Some have both -- this is known as a combination inhaler.,What drugs are in the inhaler?,Asthma
